model,forecast_date,horizon,reference_date,location,source,y_true,median,wis,mae,cov_50,cov_95
patchtst,2024-03-30,3,2024-04-13,06,flusight,179.0,111.6004638671875,42.22844434655231,67.3995361328125,False,True
patchtst,2024-03-30,4,2024-04-20,06,flusight,157.0,84.75604248046875,50.11064394743546,72.24395751953125,False,True
patchtst,2024-04-06,1,2024-04-06,06,flusight,151.0,142.01910400390625,9.672287637461787,8.98089599609375,True,True
patchtst,2024-04-06,2,2024-04-13,06,flusight,179.0,109.8892822265625,46.915374954887056,69.1107177734375,False,True
patchtst,2024-04-06,3,2024-04-20,06,flusight,157.0,102.7451171875,31.724229285198714,54.2548828125,False,True
patchtst,2024-04-06,4,2024-04-27,06,flusight,156.0,87.698974609375,36.370791148310126,68.301025390625,False,True
patchtst,2024-04-13,1,2024-04-13,06,flusight,179.0,141.163818359375,26.63764397662619,37.836181640625,False,True
patchtst,2024-04-13,2,2024-04-20,06,flusight,157.0,115.79376220703125,26.612768992548403,41.20623779296875,False,True
patchtst,2024-04-13,3,2024-04-27,06,flusight,156.0,91.10296630859375,37.0351368248981,64.89703369140625,False,True
patchtst,2024-04-13,4,2024-05-04,06,flusight,77.0,52.698974609375,15.850737384298572,24.301025390625,False,True
patchtst,2024-04-20,1,2024-04-20,06,flusight,157.0,140.93603515625,13.958974091903025,16.06396484375,False,True
patchtst,2024-04-20,2,2024-04-27,06,flusight,156.0,122.1719970703125,21.58377298106318,33.8280029296875,False,True
patchtst,2024-04-20,3,2024-05-04,06,flusight,77.0,105.67153930664062,22.52267233143682,28.671539306640625,False,True
patchtst,2024-04-20,4,2024-05-11,06,flusight,49.0,80.38287353515625,31.472675170898434,31.38287353515625,False,True
patchtst,2024-04-27,1,2024-04-27,06,flusight,156.0,134.33370971679688,14.710758043372113,21.666290283203125,False,True
patchtst,2024-04-27,2,2024-05-04,06,flusight,77.0,122.53536987304688,31.884672811756964,45.535369873046875,False,False
patchtst,2024-04-27,3,2024-05-11,06,flusight,49.0,106.193359375,36.34324042278787,57.193359375,False,True
patchtst,2024-04-27,4,2024-05-18,06,flusight,57.0,78.30740356445312,21.0132263448964,21.307403564453125,False,True
patchtst,2023-11-04,1,2023-11-04,36,flusight,56.0,40.37971115112305,7.693162679257598,15.620288848876953,False,True
patchtst,2023-11-04,2,2023-11-11,36,flusight,88.0,44.0059700012207,22.874804750525428,43.9940299987793,False,True
patchtst,2023-11-04,3,2023-11-18,36,flusight,123.0,50.403526306152344,41.41845697485883,72.59647369384766,False,True
patchtst,2023-11-04,4,2023-11-25,36,flusight,176.0,53.95722198486328,67.05108785256095,122.04277801513672,False,True
patchtst,2023-11-11,1,2023-11-11,36,flusight,88.0,69.5544204711914,10.506990917869237,18.445579528808594,True,True
patchtst,2023-11-11,2,2023-11-18,36,flusight,123.0,106.65052032470703,15.777468302353569,16.34947967529297,True,True
patchtst,2023-11-11,3,2023-11-25,36,flusight,176.0,177.2628936767578,26.217917121389636,1.2628936767578125,True,True
patchtst,2023-11-11,4,2023-12-02,36,flusight,338.0,251.510498046875,54.146976666657814,86.489501953125,True,True
patchtst,2023-11-18,1,2023-11-18,36,flusight,123.0,103.56483459472656,13.171561517300814,19.435165405273438,True,True
patchtst,2023-11-18,2,2023-11-25,36,flusight,176.0,148.04629516601562,22.767093398052715,27.953704833984375,True,True
patchtst,2023-11-18,3,2023-12-02,36,flusight,338.0,225.33584594726562,57.509236650881554,112.66415405273438,True,True
patchtst,2023-11-18,4,2023-12-09,36,flusight,501.0,301.93505859375,99.35836398746657,199.06494140625,True,True
patchtst,2023-11-25,1,2023-11-25,36,flusight,176.0,197.51083374023438,16.60250222911006,21.510833740234375,True,True
patchtst,2023-11-25,2,2023-12-02,36,flusight,338.0,327.4110412597656,34.24887759664784,10.588958740234375,True,True
patchtst,2023-11-25,3,2023-12-09,36,flusight,501.0,501.2973327636719,65.62124504421068,0.297332763671875,True,True
patchtst,2023-11-25,4,2023-12-16,36,flusight,743.0,683.3634033203125,106.20582175213357,59.6365966796875,True,True
patchtst,2023-12-02,1,2023-12-02,36,flusight,338.0,269.8155517578125,38.01486290641453,68.1844482421875,True,True
patchtst,2023-12-02,2,2023-12-09,36,flusight,501.0,356.1430358886719,73.00862407850182,144.85696411132812,True,True
patchtst,2023-12-02,3,2023-12-16,36,flusight,743.0,493.2965393066406,128.51171242091968,249.70346069335938,True,True
patchtst,2023-12-02,4,2023-12-23,36,flusight,938.0,616.0791625976562,170.46534562649936,321.92083740234375,True,True
patchtst,2023-12-09,1,2023-12-09,36,flusight,501.0,506.4039001464844,41.436769342837124,5.403900146484375,True,True
patchtst,2023-12-09,2,2023-12-16,36,flusight,743.0,717.5856323242188,83.52632299672003,25.41436767578125,True,True
patchtst,2023-12-09,3,2023-12-23,36,flusight,938.0,1009.065673828125,150.94435045325238,71.065673828125,True,True
patchtst,2023-12-09,4,2023-12-30,36,flusight,1333.0,1270.6048583984375,226.36787043032436,62.3951416015625,True,True
patchtst,2023-12-16,1,2023-12-16,36,flusight,743.0,566.7259521484375,88.57031579059104,176.2740478515625,True,True
patchtst,2023-12-16,2,2023-12-23,36,flusight,938.0,604.53955078125,168.01207542751146,333.46044921875,False,True
patchtst,2023-12-16,3,2023-12-30,36,flusight,1333.0,581.8079833984375,404.1451138770062,751.1920166015625,False,True
patchtst,2023-12-16,4,2024-01-06,36,flusight,1240.0,467.6018371582031,382.923521426657,772.3981628417969,False,True
patchtst,2023-12-23,1,2023-12-23,36,flusight,938.0,1086.610595703125,106.3175659577743,148.610595703125,True,True
patchtst,2023-12-23,2,2023-12-30,36,flusight,1333.0,1383.680419921875,153.62948154615322,50.680419921875,True,True
patchtst,2023-12-23,3,2024-01-06,36,flusight,1240.0,1627.117431640625,287.8751473999023,387.117431640625,True,True
patchtst,2023-12-23,4,2024-01-13,36,flusight,1024.0,1759.938232421875,474.5330930759596,735.938232421875,False,True
patchtst,2023-12-30,1,2023-12-30,36,flusight,1333.0,932.259521484375,206.4322003837254,400.740478515625,False,True
patchtst,2023-12-30,2,2024-01-06,36,flusight,1240.0,900.5303955078125,178.53884510869565,339.4696044921875,True,True
patchtst,2023-12-30,3,2024-01-13,36,flusight,1024.0,765.1612548828125,169.06067099529764,258.8387451171875,True,True
patchtst,2023-12-30,4,2024-01-20,36,flusight,851.0,499.50445556640625,184.62420989658523,351.49554443359375,True,True
patchtst,2024-01-06,1,2024-01-06,36,flusight,1240.0,1298.052978515625,97.91166206691578,58.052978515625,True,True
patchtst,2024-01-06,2,2024-01-13,36,flusight,1024.0,1222.332763671875,172.67892843495244,198.332763671875,True,True
patchtst,2024-01-06,3,2024-01-20,36,flusight,851.0,1024.763671875,184.39359929623808,173.763671875,True,True
patchtst,2024-01-06,4,2024-01-27,36,flusight,884.0,674.5465087890625,192.1123492099928,209.4534912109375,True,True
patchtst,2024-01-13,1,2024-01-13,36,flusight,1024.0,952.6201782226562,76.8138601286515,71.37982177734375,True,True
patchtst,2024-01-13,2,2024-01-20,36,flusight,851.0,812.6797485351562,96.91924806014352,38.32025146484375,True,True
patchtst,2024-01-13,3,2024-01-27,36,flusight,884.0,617.251708984375,153.68671823252802,266.748291015625,True,True
patchtst,2024-01-13,4,2024-02-03,36,flusight,764.0,326.4200744628906,207.5995147307023,437.5799255371094,False,True
patchtst,2024-01-20,1,2024-01-20,36,flusight,851.0,710.7405395507812,83.29558199675188,140.25946044921875,True,True
patchtst,2024-01-20,2,2024-01-27,36,flusight,884.0,547.0899658203125,172.79284245366634,336.9100341796875,False,True
patchtst,2024-01-20,3,2024-02-03,36,flusight,764.0,365.60400390625,217.85540161132818,398.39599609375,False,True
