release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,nat,201352,200246,580,3097,223712,923,851.0,1173.0,898.0,,,175.0,1.49426399288307,1.38436918895723
2013-12-31,nat,201352,200247,579,2967,223818,922,802.0,1166.0,817.0,,,182.0,1.40568657578992,1.32563064632871
2013-12-31,nat,201352,200248,578,2709,188814,918,834.0,978.0,711.0,,,186.0,1.61410143362832,1.43474530490324
2013-12-31,nat,201352,200249,577,3049,243078,937,857.0,1117.0,869.0,,,206.0,1.45966820630852,1.25432988588025
2013-12-31,nat,201352,200250,576,2957,235136,928,804.0,1179.0,792.0,,,182.0,1.5989593463191,1.25757008709853
2013-12-31,nat,201352,200251,575,3416,216179,908,951.0,1404.0,849.0,,,212.0,2.16696908291202,1.58017198710328
2013-12-31,nat,201352,200252,574,2857,144287,865,915.0,937.0,828.0,,,177.0,2.57842339410209,1.98008136561159
2013-12-31,nat,201352,200301,573,3260,171193,879,1028.0,1019.0,962.0,,,251.0,2.38636019217302,1.90428346953439
2013-12-31,nat,201352,200302,572,3729,234513,926,1068.0,1296.0,1091.0,,,274.0,1.73621011604537,1.59010374691382
2013-12-31,nat,201352,200303,571,4204,231550,902,1154.0,1798.0,1011.0,,,241.0,2.06296186343516,1.81559058518678
2013-12-31,nat,201352,200304,570,5696,235566,927,1373.0,2998.0,1104.0,,,221.0,2.58113164454626,2.41800599407385
2013-12-31,nat,201352,200305,569,7079,246969,884,1411.0,4064.0,1322.0,,,282.0,2.93909470372336,2.86635164737275
2013-12-31,nat,201352,200306,568,7782,245751,889,1606.0,4447.0,1421.0,,,308.0,3.22538895555254,3.16661987133318
2013-12-31,nat,201352,200307,567,7649,253656,903,1568.0,4224.0,1566.0,,,291.0,3.06981876517271,3.01550130885924
2013-12-31,nat,201352,200308,566,7228,241110,871,1694.0,3689.0,1537.0,,,308.0,3.20043606879946,2.99780183318817
2013-12-31,nat,201352,200309,565,5606,241683,857,1336.0,2583.0,1400.0,,,287.0,2.44888415228182,2.31956736717105
2013-12-31,nat,201352,200310,564,4450,228549,839,1015.0,2103.0,1085.0,,,247.0,2.13439644187,1.94706605585673
2013-12-31,nat,201352,200311,563,3810,220250,835,880.0,1669.0,987.0,,,274.0,1.99866199516459,1.72985244040863
2013-12-31,nat,201352,200312,562,2987,196724,795,737.0,1321.0,773.0,,,156.0,1.9384922126962,1.51837091559749
2013-12-31,nat,201352,200313,561,2439,198913,775,624.0,1016.0,640.0,,,159.0,1.412931617186,1.22616420244026
2013-12-31,nat,201352,200314,560,2028,192349,741,506.0,846.0,541.0,,,135.0,1.23472204047999,1.05433352915794
2013-12-31,nat,201352,200315,559,2082,194383,735,569.0,799.0,551.0,,,163.0,1.20004644305082,1.07108131883961
2013-12-31,nat,201352,200316,558,1467,177577,669,440.0,539.0,382.0,,,106.0,0.910134874667755,0.826120499839506
2013-12-31,nat,201352,200317,557,1445,176111,682,429.0,508.0,394.0,,,114.0,0.932265056781007,0.820505249530126
2013-12-31,nat,201352,200318,556,1075,170406,655,275.0,444.0,272.0,,,84.0,0.692174767592643,0.630846331701935
2013-12-31,nat,201352,200319,555,1005,157191,613,215.0,471.0,245.0,,,74.0,0.669406229595811,0.639349581082886
2013-12-31,nat,201352,200320,554,836,142514,547,248.0,283.0,235.0,,,70.0,0.727705269810998,0.586609034901834
2013-12-31,nat,201352,200321,553,740,95728,406,264.0,262.0,169.0,,,45.0,0.717700898272022,0.773023566772522
2013-12-31,nat,201352,200322,552,641,81063,393,213.0,205.0,179.0,,,44.0,0.78939447962671,0.790743002356192
2013-12-31,nat,201352,200323,551,563,79090,344,201.0,195.0,133.0,,,34.0,0.72212915352851,0.711847262612214
2013-12-31,nat,201352,200324,550,620,78023,341,198.0,187.0,180.0,,,55.0,0.591326044315954,0.79463747869218
2013-12-31,nat,201352,200325,549,423,72110,322,139.0,123.0,127.0,,,34.0,0.523069989732904,0.586603799750381
2013-12-31,nat,201352,200326,548,441,71593,322,122.0,124.0,163.0,,,32.0,0.450236282712373,0.615982009414328
2013-12-31,nat,201352,200327,547,318,64699,310,109.0,91.0,94.0,,,24.0,0.397421124573079,0.491506823907634
2013-12-31,nat,201352,200328,546,441,72972,308,137.0,141.0,120.0,,,43.0,0.448001648298494,0.60434139121855
2013-12-31,nat,201352,200329,545,365,69593,301,98.0,98.0,116.0,,,53.0,0.474767361838914,0.524478036584139
2013-12-31,nat,201352,200330,544,420,71103,302,112.0,139.0,121.0,,,48.0,0.453251360148873,0.59069237584912
2013-12-31,nat,201352,200331,543,361,71466,290,100.0,120.0,102.0,,,39.0,0.352157891381276,0.505135309098033
2013-12-31,nat,201352,200332,542,443,69844,295,136.0,125.0,136.0,,,46.0,0.525321592267576,0.634270660328733
2013-12-31,nat,201352,200333,541,421,69003,283,120.0,131.0,133.0,,,37.0,0.492990868505658,0.610118400649247
2013-12-31,nat,201352,200334,540,450,70178,277,159.0,144.0,120.0,,,27.0,0.542728250368509,0.641226595229274
2013-12-31,nat,201352,200335,539,463,70000,276,166.0,155.0,112.0,,,30.0,0.490346815510614,0.661428571428571
2013-12-31,nat,201352,200336,538,519,65474,271,177.0,182.0,124.0,,,36.0,0.7359136418127,0.79268106423924
2013-12-31,nat,201352,200337,537,475,74328,267,145.0,184.0,122.0,,,24.0,0.581771152720334,0.639059304703476
2013-12-31,nat,201352,200338,536,461,72401,264,136.0,183.0,116.0,,,26.0,0.654161864736963,0.636731536857226
