season,model,forecast_date,reference_date,location,horizon,y_true,median,wis,mae
2022-23,patchtst,2023-01-14,2023-01-28,54,3,21.0,26.25708770751953,8.4228162947945,5.257087707519531
2022-23,patchtst,2023-01-14,2023-02-04,54,4,22.0,15.621543884277344,7.033217070206353,6.378456115722656
2022-23,patchtst,2023-01-21,2023-01-21,54,1,14.0,36.43717956542969,16.35170254914657,22.437179565429688
2022-23,patchtst,2023-01-21,2023-01-28,54,2,21.0,12.736541748046875,7.631795534880266,8.263458251953125
2022-23,patchtst,2023-01-21,2023-02-04,54,3,22.0,0.0,10.703234412151835,22.0
2022-23,patchtst,2023-01-21,2023-02-11,54,4,16.0,0.0,9.22917939559273,16.0
2022-23,patchtst,2023-01-28,2023-01-28,54,1,21.0,3.5253677368164062,8.857877625175146,17.474632263183594
2022-23,patchtst,2023-01-28,2023-02-04,54,2,22.0,0.0,12.127438075853432,22.0
2022-23,patchtst,2023-01-28,2023-02-11,54,3,16.0,0.0,10.714056104577107,16.0
2022-23,patchtst,2023-01-28,2023-02-18,54,4,9.0,0.0,6.903161866561226,9.0
2022-23,patchtst,2023-02-04,2023-02-04,54,1,22.0,1.7220230102539062,9.121694833506709,20.277976989746094
2022-23,patchtst,2023-02-04,2023-02-11,54,2,16.0,0.0,7.635585910962976,16.0
2022-23,patchtst,2023-02-04,2023-02-18,54,3,9.0,0.0,5.126201719201129,9.0
2022-23,patchtst,2023-02-04,2023-02-25,54,4,14.0,0.0,8.491446665888247,14.0
2022-23,patchtst,2023-02-11,2023-02-11,54,1,16.0,3.8835983276367188,6.965292683476988,12.116401672363281
2022-23,patchtst,2023-02-11,2023-02-18,54,2,9.0,0.0,4.866577841717264,9.0
2022-23,patchtst,2023-02-11,2023-02-25,54,3,14.0,0.0,8.078924630206563,14.0
2022-23,patchtst,2023-02-11,2023-03-04,54,4,9.0,0.0,6.823101315705673,9.0
2022-23,patchtst,2023-02-18,2023-02-18,54,1,9.0,7.728446960449219,2.711344853276792,1.2715530395507812
2022-23,patchtst,2023-02-18,2023-02-25,54,2,14.0,3.2068939208984375,4.567323973282524,10.793106079101562
2022-23,patchtst,2023-02-18,2023-03-04,54,3,9.0,0.03716278076171875,4.1033871061905565,8.962837219238281
2022-23,patchtst,2023-02-18,2023-03-11,54,4,4.0,0.6177978515625,3.854465803063434,3.3822021484375
2022-23,patchtst,2023-02-25,2023-02-25,54,1,14.0,5.52490234375,4.6811109857973845,8.47509765625
2022-23,patchtst,2023-02-25,2023-03-04,54,2,9.0,0.0,3.58340828937033,9.0
2022-23,patchtst,2023-02-25,2023-03-11,54,3,4.0,0.0,2.579410639223845,4.0
2022-23,patchtst,2023-02-25,2023-03-18,54,4,8.0,0.0,5.574982253364895,8.0
2022-23,patchtst,2023-03-04,2023-03-04,54,1,9.0,12.86419677734375,3.3813681561013924,3.86419677734375
2022-23,patchtst,2023-03-04,2023-03-11,54,2,4.0,10.363517761230469,4.027645441138226,6.363517761230469
2022-23,patchtst,2023-03-04,2023-03-18,54,3,8.0,1.8475494384765625,3.64172745746115,6.1524505615234375
2022-23,patchtst,2023-03-04,2023-03-25,54,4,16.0,6.103668212890625,5.522976289832074,9.896331787109375
2022-23,patchtst,2023-03-11,2023-03-11,54,1,4.0,7.094017028808594,2.4300512761655066,3.0940170288085938
2022-23,patchtst,2023-03-11,2023-03-18,54,2,8.0,4.531768798828125,2.533306894717009,3.468231201171875
2022-23,patchtst,2023-03-11,2023-03-25,54,3,16.0,0.40859222412109375,6.294551487798276,15.591407775878906
2022-23,patchtst,2023-03-11,2023-04-01,54,4,9.0,4.697784423828125,2.7770316430796744,4.302215576171875
2022-23,patchtst,2023-03-18,2023-03-18,54,1,8.0,2.6126480102539062,2.801091577281123,5.387351989746094
2022-23,patchtst,2023-03-18,2023-03-25,54,2,16.0,0.0,6.934923825471297,16.0
