date,location,location_name,value,value_weighted,num_ili,num_patients
2017-04-02,co,CO,1.49502,1.49502,45,3010
2017-04-02,ct,CT,2.77175,2.77175,115,4149
2017-04-02,dc,DC,6.73207,6.73207,199,2956
2017-04-02,de,DE,0.464618,0.464618,13,2798
2017-04-02,ga,GA,2.9016,2.9016,1503,51799
2017-04-02,hi,HI,2.92135,2.92135,39,1335
2017-04-02,ia,IA,0.367454,0.367454,14,3810
2017-04-02,id,ID,0.592353,0.592353,11,1857
2017-04-02,il,IL,2.35154,2.35154,1169,49712
2017-04-02,in,IN,2.61927,2.61927,140,5345
2017-04-02,ks,KS,2.25758,2.25758,149,6600
2017-04-02,ky,KY,3.9444,3.9444,315,7986
2017-04-02,la,LA,2.51228,2.51228,1284,51109
2017-04-02,ma,MA,2.10917,2.10917,694,32904
2017-04-02,md,MD,2.35602,2.35602,216,9168
2017-04-02,me,ME,1.87339,1.87339,87,4644
2017-04-02,mi,MI,1.86882,1.86882,412,22046
2017-04-02,mn,MN,3.30335,3.30335,213,6448
2017-04-02,mo,MO,1.60621,1.60621,120,7471
2017-04-02,ms,MS,2.87508,2.87508,426,14817
2017-04-02,mt,MT,0.163621,0.163621,6,3667
2017-04-02,nat,NAT,2.36989,2.38646,19684,830587
2017-04-02,nc,NC,3.0226,3.0226,464,15351
2017-04-02,nd,ND,1.386,1.386,20,1443
2017-04-02,ne,NE,0.887282,0.887282,27,3043
2017-04-02,nh,NH,1.77638,1.77638,68,3828
2017-04-02,nj,NJ,3.52109,3.52109,597,16955
2017-04-02,nm,NM,1.67285,1.67285,185,11059
2017-04-02,nv,NV,0.914431,0.914431,165,18044
2017-04-02,oh,OH,1.24417,1.24417,248,19933
2017-04-02,ok,OK,4.27716,4.27716,200,4676
2017-04-02,or,OR,1.08395,1.08395,51,4705
2017-04-02,pa,PA,1.8562,1.8562,245,13199
2017-04-02,ri,RI,2.46654,2.46654,129,5230
2017-04-02,sc,SC,4.50734,4.50734,258,5724
2017-04-02,sd,SD,1.73496,1.73496,152,8761
2017-04-02,tn,TN,3.68483,3.68483,376,10204
2017-04-02,tx,TX,3.50145,3.50145,906,25875
2017-04-02,ut,UT,0.502478,0.502478,73,14528
2017-04-02,va,VA,2.70719,2.70719,2675,98811
2017-04-02,vt,VT,1.44538,1.44538,43,2975
2017-04-02,wa,WA,0.366804,0.366804,16,4362
2017-04-02,wi,WI,1.8018,1.8018,114,6327
2017-04-02,wv,WV,1.44829,1.44829,318,21957
2017-04-02,wy,WY,1.07162,1.07162,41,3826
2017-04-09,ak,AK,3.24983,3.24983,48,1477
2017-04-09,al,AL,2.89855,2.89855,210,7245
2017-04-09,ar,AR,2.01602,2.01602,73,3621
2017-04-09,az,AZ,1.98371,1.98371,380,19156
2017-04-09,ca,CA,1.59589,1.59589,746,46745
2017-04-09,co,CO,0.969856,0.969856,37,3815
2017-04-09,ct,CT,2.18108,2.18108,86,3943
2017-04-09,dc,DC,0.15674,0.15674,1,638
2017-04-09,de,DE,0.520416,0.520416,13,2498
2017-04-09,ga,GA,2.29336,2.29336,1147,50014
2017-04-09,hi,HI,2.24179,2.24179,28,1249
2017-04-09,ia,IA,0.169549,0.169549,5,2949
2017-04-09,id,ID,0.744753,0.744753,11,1477
2017-04-09,il,IL,1.60639,1.60639,764,47560
2017-04-09,in,IN,1.34363,1.34363,80,5954
2017-04-09,ks,KS,1.39598,1.39598,93,6662
2017-04-09,ky,KY,1.89341,1.89341,162,8556
2017-04-09,la,LA,2.27333,2.27333,1199,52742
2017-04-09,ma,MA,1.72087,1.72087,527,30624
2017-04-09,md,MD,1.83007,1.83007,154,8415
2017-04-09,me,ME,2.1068,2.1068,101,4794
2017-04-09,mi,MI,1.45771,1.45771,348,23873
2017-04-09,mn,MN,2.76616,2.76616,172,6218
2017-04-09,mo,MO,1.28613,1.28613,93,7231
2017-04-09,ms,MS,3.11772,3.11772,616,19758
2017-04-09,mt,MT,0.0575043,0.0575043,2,3478
2017-04-09,nat,NAT,1.93539,1.96699,15552,803557
2017-04-09,nc,NC,2.45351,2.45351,318,12961
2017-04-09,nd,ND,1.18577,1.18577,18,1518
2017-04-09,ne,NE,0.635425,0.635425,16,2518
2017-04-09,nh,NH,0.722624,0.722624,26,3598
2017-04-09,nj,NJ,3.0516,3.0516,508,16647
2017-04-09,nm,NM,2.01193,2.01193,199,9891
2017-04-09,nv,NV,0.754254,0.754254,129,17103
2017-04-09,oh,OH,1.1233,1.1233,216,19229
2017-04-09,ok,OK,2.49322,2.49322,138,5535
2017-04-09,or,OR,0.76666,0.76666,39,5087
2017-04-09,pa,PA,1.73473,1.73473,209,12048
2017-04-09,ri,RI,2.10526,2.10526,104,4940
2017-04-09,sc,SC,3.51038,3.51038,191,5441
2017-04-09,sd,SD,1.45349,1.45349,120,8256
2017-04-09,tn,TN,2.51517,2.51517,228,9065
2017-04-09,tx,TX,3.41597,3.41597,835,24444
2017-04-09,ut,UT,0.546992,0.546992,77,14077
2017-04-09,va,VA,1.91896,1.91896,1785,93019
2017-04-09,vt,VT,1.49254,1.49254,43,2881
2017-04-09,wa,WA,0.337553,0.337553,16,4740
2017-04-09,wi,WI,1.92,1.92,108,5625
2017-04-09,wv,WV,0.962907,0.962907,203,21082
2017-04-09,wy,WY,1.0547,1.0547,43,4077
2017-04-16,ak,AK,2.41503,2.41503,27,1118
2017-04-16,al,AL,2.77162,2.77162,200,7216
2017-04-16,ar,AR,1.5602,1.5602,53,3397
2017-04-16,az,AZ,2.0602,2.0602,462,22425
2017-04-16,ca,CA,1.62994,1.62994,776,47609
2017-04-16,co,CO,1.13247,1.13247,43,3797
2017-04-16,ct,CT,2.47006,2.47006,99,4008
2017-04-16,dc,DC,4.52506,4.52506,121,2674
2017-04-16,de,DE,0.222469,0.222469,6,2697
2017-04-16,ga,GA,1.98045,1.98045,1027,51857
2017-04-16,hi,HI,2.70848,2.70848,38,1403
2017-04-16,ia,IA,0.255848,0.255848,7,2736
2017-04-16,id,ID,0.282805,0.282805,5,1768
2017-04-16,il,IL,1.40298,1.40298,676,48183
2017-04-16,in,IN,1.3877,1.3877,81,5837
2017-04-16,ks,KS,1.24727,1.24727,80,6414
2017-04-16,ky,KY,1.28961,1.28961,105,8142
2017-04-16,la,LA,2.14774,2.14774,1097,51077
2017-04-16,ma,MA,1.27052,1.27052,298,23455
2017-04-16,md,MD,1.31684,1.31684,115,8733
2017-04-16,me,ME,1.20361,1.20361,48,3988
2017-04-16,mi,MI,1.3616,1.3616,307,22547
2017-04-16,mn,MN,2.92533,2.92533,190,6495
2017-04-16,mo,MO,1.15415,1.15415,87,7538
2017-04-16,ms,MS,2.76871,2.76871,441,15928
2017-04-16,mt,MT,0.111888,0.111888,4,3575
2017-04-16,nat,NAT,1.6406,1.73523,13012,793124
2017-04-16,nc,NC,1.443,1.443,190,13167
2017-04-16,nd,ND,0.630915,0.630915,8,1268
2017-04-16,ne,NE,0.258207,0.258207,7,2711
2017-04-16,nh,NH,1.16248,1.16248,43,3699
2017-04-16,nj,NJ,2.30231,2.30231,375,16288
2017-04-16,nm,NM,1.63185,1.63185,150,9192
2017-04-16,nv,NV,0.771322,0.771322,139,18021
2017-04-16,oh,OH,0.910533,0.910533,178,19549
2017-04-16,ok,OK,1.96234,1.96234,99,5045
2017-04-16,or,OR,0.874688,0.874688,49,5602
2017-04-16,pa,PA,1.50122,1.50122,191,12723
2017-04-16,ri,RI,1.08319,1.08319,50,4616
2017-04-16,sc,SC,2.12303,2.12303,117,5511
2017-04-16,sd,SD,1.02898,1.02898,87,8455
2017-04-16,tn,TN,3.24539,3.24539,310,9552
2017-04-16,tx,TX,3.39061,3.39061,665,19613
2017-04-16,ut,UT,0.559903,0.559903,88,15717
2017-04-16,va,VA,1.40519,1.40519,1282,91233
2017-04-16,vt,VT,1.18421,1.18421,27,2280
2017-04-16,wa,WA,0.320718,0.320718,15,4677
2017-04-16,wi,WI,1.29032,1.29032,48,3720
2017-04-16,wv,WV,0.663663,0.663663,137,20643
2017-04-16,wy,WY,1.12705,1.12705,44,3904
2017-04-23,ak,AK,1.68011,1.68011,25,1488
2017-04-23,al,AL,2.05347,2.05347,149,7256
2017-04-23,ar,AR,1.36827,1.36827,47,3435
2017-04-23,az,AZ,2.80205,2.80205,420,14989
2017-04-23,ca,CA,1.66288,1.66288,797,47929
2017-04-23,co,CO,1.37306,1.37306,53,3860
2017-04-23,ct,CT,2.04551,2.04551,89,4351
2017-04-23,dc,DC,0.0,0.0,0,557
2017-04-23,de,DE,0.0366032,0.0366032,1,2732
2017-04-23,ga,GA,1.68891,1.68891,905,53585
2017-04-23,hi,HI,2.24252,2.24252,27,1204
2017-04-23,ia,IA,0.164908,0.164908,5,3032
2017-04-23,id,ID,0.616592,0.616592,11,1784
2017-04-23,il,IL,1.40462,1.40462,681,48483
2017-04-23,in,IN,1.09235,1.09235,66,6042
2017-04-23,ks,KS,1.09416,1.09416,71,6489
2017-04-23,ky,KY,0.924409,0.924409,79,8546
2017-04-23,la,LA,2.06866,2.06866,1110,53658
2017-04-23,ma,MA,0.896083,0.896083,248,27676
2017-04-23,md,MD,1.15975,1.15975,102,8795
2017-04-23,me,ME,0.965251,0.965251,40,4144
2017-04-23,mi,MI,1.1713,1.1713,285,24332
2017-04-23,mn,MN,2.43869,2.43869,176,7217
2017-04-23,mo,MO,1.03435,1.03435,78,7541
2017-04-23,ms,MS,2.26128,2.26128,422,18662
2017-04-23,mt,MT,0.0484027,0.0484027,1,2066
2017-04-23,nat,NAT,1.47817,1.5635,11955,808770
2017-04-23,nc,NC,0.96977,0.96977,128,13199
2017-04-23,nd,ND,0.444939,0.444939,8,1798
2017-04-23,ne,NE,0.348888,0.348888,8,2293
2017-04-23,nh,NH,0.540541,0.540541,19,3515
2017-04-23,nj,NJ,2.21879,2.21879,374,16856
2017-04-23,nm,NM,1.39154,1.39154,153,10995
2017-04-23,nv,NV,0.716424,0.716424,146,20379
2017-04-23,oh,OH,0.761595,0.761595,145,19039
2017-04-23,ok,OK,1.98133,1.98133,104,5249
2017-04-23,or,OR,0.451807,0.451807,21,4648
2017-04-23,pa,PA,1.18574,1.18574,161,13578
2017-04-23,ri,RI,0.503087,0.503087,22,4373
2017-04-23,sc,SC,2.58416,2.58416,152,5882
2017-04-23,sd,SD,1.33048,1.33048,112,8418
2017-04-23,tn,TN,2.20617,2.20617,223,10108
2017-04-23,tx,TX,2.76932,2.76932,755,27263
2017-04-23,ut,UT,0.636194,0.636194,92,14461
2017-04-23,va,VA,1.2409,1.2409,1122,90418
2017-04-23,vt,VT,0.815101,0.815101,19,2331
2017-04-23,wa,WA,0.323625,0.323625,16,4944
2017-04-23,wi,WI,1.39672,1.39672,52,3723
2017-04-23,wv,WV,0.396825,0.396825,80,20160
