reference_date,location,value,post_mandatory
2021-11-13,AR,6.0,False
2021-11-20,AR,9.0,False
2021-11-27,AR,2.0,False
2021-12-04,AR,12.0,False
2021-12-11,AR,11.0,False
2021-12-18,AR,13.0,False
2021-12-25,AR,11.0,False
2022-01-01,AR,28.0,False
2022-01-08,AR,35.0,False
2022-01-15,AR,30.0,False
2022-01-22,AR,19.0,False
2022-01-29,AR,13.0,False
2022-02-05,AR,16.0,False
2022-02-12,AR,23.0,False
2022-02-19,AR,22.0,False
2022-02-26,AR,37.0,False
2022-03-05,AR,57.0,False
2022-03-12,AR,60.0,False
2022-03-19,AR,62.0,False
2022-03-26,AR,74.0,False
2022-04-02,AR,56.0,False
2022-04-09,AR,74.0,False
2022-04-16,AR,43.0,False
2022-04-23,AR,34.0,False
2022-04-30,AR,33.0,False
2022-05-07,AR,17.0,False
2022-05-14,AR,28.0,False
2022-05-21,AR,15.0,False
2022-05-28,AR,14.0,False
2022-06-04,AR,17.0,False
2022-06-11,AR,19.0,False
2022-06-18,AR,10.0,False
2022-06-25,AR,16.0,False
2022-07-02,AR,8.0,False
2022-07-09,AR,5.0,False
2022-07-16,AR,19.0,False
2022-07-23,AR,10.0,False
2022-07-30,AR,1.0,False
2022-08-06,AR,3.0,False
2022-08-13,AR,7.0,False
2022-08-20,AR,3.0,False
2022-08-27,AR,3.0,False
2022-09-03,AR,6.0,False
2022-09-10,AR,6.0,False
2022-09-17,AR,5.0,False
2022-09-24,AR,7.0,False
2022-10-01,AR,10.0,False
2022-10-08,AR,22.0,False
2022-10-15,AR,37.0,False
2022-10-22,AR,47.0,False
2022-10-29,AR,77.0,False
2022-11-05,AR,134.0,False
2022-11-12,AR,203.0,False
2022-11-19,AR,214.0,False
2022-11-26,AR,407.0,False
2022-12-03,AR,466.0,False
2022-12-10,AR,346.0,False
2022-12-17,AR,251.0,False
2022-12-24,AR,201.0,False
2022-12-31,AR,204.0,False
2023-01-07,AR,158.0,False
2023-01-14,AR,105.0,False
2023-01-21,AR,65.0,False
2023-01-28,AR,44.0,False
2023-02-04,AR,20.0,False
2023-02-11,AR,33.0,False
2023-02-18,AR,25.0,False
2023-02-25,AR,30.0,False
2023-03-04,AR,33.0,False
2023-03-11,AR,23.0,False
2023-03-18,AR,15.0,False
2023-03-25,AR,18.0,False
2023-04-01,AR,27.0,False
2023-04-08,AR,15.0,False
2023-04-15,AR,17.0,False
2023-04-22,AR,8.0,False
2023-04-29,AR,11.0,False
2023-05-06,AR,9.0,False
2023-05-13,AR,12.0,False
2023-05-20,AR,9.0,False
2023-05-27,AR,14.0,False
2023-06-03,AR,6.0,False
2023-06-10,AR,1.0,False
2023-06-17,AR,5.0,False
2023-06-24,AR,12.0,False
2023-07-01,AR,6.0,False
2023-07-08,AR,4.0,False
2023-07-15,AR,8.0,False
2023-07-22,AR,6.0,False
2023-07-29,AR,5.0,False
2023-08-05,AR,11.0,False
2023-08-12,AR,10.0,False
